Name,Date,Review,Rating,Developer,Website
Олеся,2025-02-03,"Приятно, что про наш досуг и зимой не забывают, такой шикарный праздник в Зеленой реке закатили перед Новым годом) Мои дети пищали от восторга, белые мишки их покорили)",5,Донстрой,Forum-zhk
Юлия,2025-01-31,"Следим за новостями со стройки События, всё идёт по графику. Мы сами периодически мимо проезжаем, видим что рабочие как пчёлки всегда на месте, трудятся, и нам сразу спокойно становится)",5,Донстрой,Forum-zhk
Юлия,2025-01-31,"Следим за новостями со стройки События, всё идёт по графику",5,Донстрой,Forum-zhk
Кирилл,2024-12-27,"У меня двушка в 1 Событии. Жк растет, потихоньку новые места открываются. В квартале уже несколько ресторанчиков есть, я в одном из них раза 3 за неделю бываю, вкусно мне там) Иногда в соседние Огни захаживаю, для разнообразия) Да, пока тут движуха не как в Символе, к примеру, но скоро другие очереди достроят, вообще шик будет!",5,Донстрой,Forum-zhk
Пётр,2024-12-13,"Я уже давно знаком с этим застройщиком, родители живут в жк Сердце Столицы больше пяти лет. За это время там только лучше становится, есть мне кажется весь спектр услуг в самих домах, очень развитый жк и находится в хорошем районе. Думаю туда тоже перебраться в скором времени.",5,Донстрой,Forum-zhk
Алина,2024-12-06,"К застройщику доверие у нас уже есть, еще после покупки квартиры в Событии появилось. Недавно дочери подыскивали жилье, сначала думали тут же взять, только в 4 квартале, но ей уж больно Остров понравился, для молодежи там отлично должно быть, много чего для досуга будет, судя по макетам",5,Донстрой,Forum-zhk
Сергей,2024-11-29,"Застройщика посоветовали друзья, решил прочекать инфу. Сразу в глаза бросилось, что много жк у парков и реки строятся, это круто. Я для себя событие выбрал, тоже около парка, плюс Раменки район неплохой и сами дома интересные",5,Донстрой,Forum-zhk
Виктор,2024-11-07,"После покупки могу сказать, что Донстрой держит хороших спецов - менеджеров. Совершенно не удивляет то, что они рассказывают какие прекрасные квартиры и жк - это их работа. Но уже после того, как я отдал деньги и сделка была завершена, я всегда могу связаться с менеджером и проконсультироваться по поводу, например, сроков открытия школы в нашем Острове или по покупке мм. В общем поддержка чувствуется",5,Донстрой,Forum-zhk
Аделина,2024-10-31,"Прилично Москву застроили, причем не однотипными скучными домиками, а красивыми кварталами. Я в Острове купила, его обустроить классно обещают. У нас там и для детей, и для взрослых досуг веселый организуют, может наконец плаванием займусь, давно хочу)",5,Донстрой,Forum-zhk
Мария,2024-10-23,"Мы выбрали жк Остров, понравилось, что дома около реки и много парков вокруг. Квартиру выбирали долго, так как уже навсегда планируем покупать. В итоге дождались продаж в 7 квартале, нашли там нашу трёшку с кухней-гостиной почти 40 метров. Семья большая, сможем там по утрам впятером разойтись))",5,Донстрой,Forum-zhk
Андрей,2024-10-21,"Уютный офис продаж у Символа, стильный интерьер, светло и не душно)) Присмотрел у них подходящую квартиру, планирую в следующее посещение на экскурсию сгонять, посмотреть, что там да как, в этот раз времени не хватило. И сам район понравился, давно на Лефортово посматривал",5,Донстрой,Forum-zhk
Карина,2024-10-17,"Снимаю в Огнях, когда созрела до покупки, другие жк и не смотрела даже, этот нравится. На встречу в офис ехала на диком стрессе, очень переживала. Менеджер меня успокоил, чаем угостил, все показал рассказал. Сделка прошла комфортно, я выбрала именно то, о чем мечтала) Артем, если вы читаете, знайте, вы суперМЕНеджер!",5,Донстрой,Forum-zhk
Сергей,2024-09-24,"Качество домов отвратительное. И это не только в нашем доме, квартиру в котором будем готовить к продаже. Слышно даже через этаж, как развлекаются соседи. Управляющая компания за год сменила 4-х комендантов и потом сама свалила, передав управление фирме ""Рога и копыта"". Лифты расцарапали арендаторы, на стенах периодически появляются граффити. Охрана никакая, левая сказал бы, состоящая из понаехавших мужиков с регионов. Друзья тоже попались на уловку, что ЖК будет бизнес-класса. В итоге, в домах много квартир, сдающих не только в аренду, но и даже посуточно. На этажах вонь, штырьки которыми наркоманы пользуются, и мигрантов много. Если покупать квартиру для нормального проживания только не у ""Дон-строя""",1,Донстрой,Forum-zhk
Виктория,2024-07-03,"Процесс покупки в Символе прошёл гладко, ребята в офисе помогли разобраться со всеми деталями. После заселения не прошло и месяца, как вошли во вкус: район продуманный, всё необходимое поблизости, а школа прям на территории, соседи дружелюбные.",5,Донстрой,Forum-zhk
Андрей,2024-03-20,"Прочитал на днях пост ДС в тг что сезон веранд открывается, и так настроение поднялось )) да, точно, наконец можно будет кушать под солнышком! единственное неудобство - каждые 2 минуты с соседом каким-нибудь здороваешься ))",5,Донстрой,Forum-zhk
Лизавета,2023-12-18,"Я купила квартиру в Символе. Буду жить рядом с работой, мне отсюда 10 минут на машине. Сразу и машиноместо взяла, чтобы не переживать за машину. Там она будет в безопасности, да и так удобнее.",5,Донстрой,Forum-zhk
Артемий,2023-12-15,"Впечатляет уровень Донстроя сейчас, могут себе позволить строить несколько больших проектов. Один Остров чего стоит, причем все очереди одновременно возводят и даже школу строят. Боюсь представить, сколько работников, средств, техники задействовано там.",5,Донстрой,Forum-zhk
Анастасия,2023-12-11,"Сервис понравился, все на уровне, приятно иметь дело с такой компаний. Сам офис внушает доверие, хочешь, не хочешь, а внешняя картинка имеет значение.",5,Донстрой,Forum-zhk
Илья,2023-11-30,"Перед покупкой мониторил всё про застройщика, вроде рейтинг не плохой и каких-то срывов по срокам не было, доверился в общем. Сейчас ждем сдачу своего дома и дело даже движется немного с опережением, буду рад, если ключи раньше получим, такие случаи у них уже были)",5,Донстрой,Forum-zhk
Кирилл,2023-11-27,"Отличные ребята, дом сдали в срок, претензий по качеству у нас не было никаких, то есть можно сказать, что оправдали свою репутацию надёжного застройщика))",5,Донстрой,Forum-zhk
Семён,2023-08-15,"Я уже собственник квартиры от Донстроя, вот подумываю взять еще студию в Символе, под сдачу. А что, место хорошее, уже сданных много домов, есть детский сад новый, скоро будут школу открывать. Спрос там точно будет.",5,Донстрой,Forum-zhk
