Name,Date,Review,Rating,Developer,Website
Яна Купчиненко,2024-05-02,"Мы проживаем в жк Алхимово, ни разу не пожалели, чтобы купили в этом жк квартиру. Немного был перенос выдачи ключей, но такие сдвиги нельзя назвать критичными. Это хороший район Новой Москвы, рядом река Десна, лесопарк Дубровский, сейчас наш жк активно заселяется. На территории школы уже сданная школа, детский сад, на первых этажах работают магазины, кафе аптека.",5,Самолет,Novostroev
Елена,2021-11-23,"У нас знакомые квартиру взяли у этого застройщика, по их совету и мы выбрали комплекс. Взяли двушку, сейчас ждем РВЭ. Пока довольны) все идет по плану. Корпус вырос просто красавец!)",5,Самолет,Novostroev
петр,2019-11-15,"все хвалебные отзывы - вранье...контора гнилая и коррупция дичайшая..все тендера на строительство и проектирование раздают своим подставным конторам... задержки детсадов и школ по году-полтора...качество так себе..
Недостатки: все хвалебные отзывы - вранье...контора гнилая и коррупция дичайшая..все тендера на строительство и проектирование раздают своим подставным конторам... задержки детсадов и школ по году-полтора...качество так себе..
Читать полностью",1,Самолет,Novostroev
Елена,2021-02-25,"отвратительный Застройщик. Вот прям позор! Основная цель - заграбастать деньги дольщиков, а потом ""кормить"" завтраками получения ключей. Кроме, как ""ХАПУГИ"" и не назовешь. Понятно, что всем хочется денег, а чем больше их получаешь, тем меньше совести остается. Так вот у всех сотрудников самолета совесть уже давно ушла в минусы. Приобрела квартиру в ноябре 2020 года в ЖК Томилино. Менеджер по продажам Евгений клялся и божился, что ключи все получат до конца декабря 2020 года. И на крайний мой аргумент что если до февраля 2021 года я не получу ключу - то жить мне будет негде от слова ""совсем"". И это не просто так проверка на вшивость ""продажника"" самолета и реальная действительность. На что Евгений снова уверил бья себя в грудь, что все документу уже согласованы и не сегодня - завтра начнется выдача ключей, поэтому я свои могу получить раньше срока, а именно в начале декабря. Это сейчас я понимаю, что человек обещая, то что нельзя исполнить, просто набивал себе карман в виде бонуса за продажу очередной квартиры, откровенно плюя на покупателя и на его дальнейшую ситуацию. Но все опять о совести, которой нет ни у одного сотрудника самолета. И во на дворе февраля , просрочка месяца и света в конце туннеля так и не видно. 31 декабря прошло, дольше была дата вторая половина января, потом начало февраля, потом 17 февраля, потом февраля, сейчас начало марта, но неизвестно когда, потому что дат конкретных в отделе заселения нет, как и во всей компании. Ответ один : ждите смс..... Поэтому, кто хочет купить квартиру у этих жуликов, 100 раз подумайте и приплюсуйте к срокам сдачи, которые вам будут обещать, еще минимум 6 месяцев, а лучше год...а может и не один.
откуда им взяться
все...начиная, как в театре, с вешалки...и до....
Читать полностью",1,Самолет,Novostroev
kogotkova larisa,2024-05-30,"ЖК в хорошем районе, с удобной транспортной системой и наличием ТЦ, детских садов, школ и больниц. Однако есть недостатки, пробки на дорогах и маловато парковочных мест. Ну если такие минусы не критичны, то в целом хорошее место для жизни.",5,Самолет,Novostroev
oksana*zabegaeva,2024-04-23,"Плотность заселения высоковата, но нам все равно нравится с семьей. Мы переехали сюда из более дальнего района и нам за радость этот район, тем более Москва почти рядом. Заселились, обустроились, по отделке ничего не стали менять, хотя нейтральные оттенки немного монотонно смотрятся.",5,Самолет,Novostroev
Наталья,2019-08-21,"Томилино 2018. Компания не соблюдает сроки ввода в эксплуатацию, сроки графика заселения. Очень плохая отделка квартир. Сотрудники отдела заселения грубые. Стыдно работать без элементарного уважения к покупателям. НЕ СОВЕТУЮ ЗАКЛЮЧАТЬ ДДУ С САМОЛЕТ ДЕВЕЛОПМЕНТ.
Достоинства: ДОСТОИНСТВ НЕТ
омилино 2018. Компания не соблюдает сроки ввода в эксплуатацию, сроки графика заселения. Очень плохая отделка квартир. Сотрудники отдела заселения грубые. Стыдно работать без элементарного уважения к покупателям. НЕ СОВЕТУЮ ЗАКЛЮЧАТЬ ДДУ С САМОЛЕТ ДЕВЕЛОПМЕНТ.
Читать полностью",1,Самолет,Novostroev
Артем Любченко,2023-12-20,"Решили купить квартиру в жилом комплексе Квартал Марьино. Адекватный застройщик строит этот жк, плюс здесь несколько выездов есть – можно ехать в сторону Москвы, как по Киевскому, так и по Калужскому шоссе. Ждать квартиру надо примерно два года, за те деньги, которые мы заплатили, считаю, срок нормальный.",5,Самолет,Novostroev
parubina valentina,2023-11-27,"Наша квартира уже готова, но мы еще ждем, когда приведут в порядок придомовую территорию, а вообще получился красивый, светлый комплекс. Квартира оборудована всем необходимым, есть корзина для кондиционера снаружи, очень удобно и не портит внешний вид здания, вход в дом на уровне земли, сделан специально для пожилых людей и матерей с колясками. Бесшумный лифт, просторная парадная, это первые впечатления, которые бросились в глаза.",5,Самолет,Novostroev
valentina opalkina,2023-12-22,"Переехали в Мытищи парк этим летом. Здесь классный закрытый двор, детей на игровую площадку спокойно отпускаем. Получили мы квартиру сразу готовую, но по сути, других вариантов у застройщика и не было. Так-то все равно хочется еще кое-что в квартире сделать.",5,Самолет,Novostroev
