Name,Date,Review,Rating,Developer,Website
Юра,2024-07-17,"По количеству вводимого жилья за первый квартал этого года МР вошел в топ-10.Я аналитик по профессии, поэтому могу сказать, что таких высоких показателей можно достичь только при полном соблюдении сроков. Следовательно, свои объекты МР сдает без задержек.",5,MR Group,Novostroy-m
Олег,2024-06-19,"Работают по трейд ину и рассрочке, и правильно. У каждого свои финансовые возможности и предпочтения. Я вот, например, ни за что ипотеку при покупке квартиры брать не буду, только рассрочка.",5,MR Group,Novostroy-m
Лариса,2024-05-30,"Когда не говорят ничего плохого, это уже хорошо. Про МР групп слышала только хорошее: то награду возьмут, то опять в топ застройщиков Москвы влючат. А больше ничего.",5,MR Group,Novostroy-m
Ирина,2024-05-23,"Недавно была на конференции, понравилось выступление представителя МР Групп. В рамках мероприятия были освещены вроде бы такие понятные моменты, как важность строительства школ и садиков в новых комплексах. Только это не все делают. А МР групп в своих проектах делает на это большой упор.",5,MR Group,Novostroy-m
Артем,2024-04-23,"Застройщик дает адекватный ценник за кв.метр. Причем у МР в цену входит отделка: базовая или готовая. Это очень удобно, если берешь ипотеку.",5,MR Group,Novostroy-m
Саша,2024-04-19,"МР Групп строит в разных сегментах: бизнес, премиум, комфорт. Если глянуть сданные дома, можно сказать, что одинаково хорошо у него получается работать в таких разных направлениях.",5,MR Group,Novostroy-m
Саша Е.,2024-04-17,"МР групп все делает с умом. Если выводит на рынок новый жилой комплекс, то полностью продуманный. Со своей инфраструктурой, удобными выездами и заездами. Так же учитывает, что многие переезжают с детьми: открывает садики, школы. Мы на комплекс от Мр в первую очередь обратили внимание именно из-за этого.",5,MR Group,Novostroy-m
Артем,2024-03-22,"Квартира с видом на реку в доме премиум-класса - это то, что я хотел. Брокер подобрал мне 4 вварианта, я выбрал City Bay. Подходящие сроки сдачи, застройщик и расположение перевесели чашу весов в пользу этого ЖК.",5,MR Group,Novostroy-m
Пользователь,2024-02-08,"Очень ждем сдачи Noble, это клубный дом от МР Групп в районе Филевского парка. Совсем скоро (хотя понятие времени у всех относительно, но я так считаю) сможем переехать в свою новую квартиру, причем заниматься ремонтом не придется, мы приобрели жилье с мр-рейди отделкой.",5,MR Group,Novostroy-m
Андрей,2023-12-28,Крупная надежная компания-застройщик!,5,MR Group,Novostroy-m
Дарья,2023-07-28,"Проекты застройщика становятся победителями на различных конкурсах уже не первый год. МР заслуживает высокой оценки за свою способность строить качественные дома и благоустраивать территории вокруг них. Каждый проект застройщика - это не только красивое здание, но и пространство, где приятно находиться и жить",5,MR Group,Novostroy-m
Дима,2023-07-26,"Еще на стадии первого этапа жилого комплекса Метрополия он привлек наше внимание. Мы смогли посетить экскурсию с женой, и нам очень понравились планировки и внешний вид здания. Все выглядит очень современно и стильно. Особенно красиво выглядят переливающиеся фасады.",5,MR Group,Novostroy-m
Инна,2023-07-21,"Переехали в новую квартиру совсем недавно, успели прямо перед майскими праздниками. Район пока изучить не успели, но что вокруг увидели - понравилось. Рядом станция метро и большой зеленый парк, можно ходить прогуливаться с детьми. Соседи, с которыми успели познакомиться, доброжелательные и милые, всегда здороваются.",5,MR Group,Novostroy-m
Жанна,2023-06-29,"взяли квартиру в третьей очереди Селигер Сити. О MR впечатления остались исключительно положительные. Понравилась система лояльности застройщика, которая помогла прилично сэкономить",5,MR Group,Novostroy-m
Евгений,2023-06-28,"Недавно был в офисе продаж МР Групп. Понравился профессионализм сотрудников - наше общение было ненавязчивое, менеджер подробно рассказал про объект, который меня интересовал (Слава), ответил на все мои вопросы. Тогда я еще присматривался к ЖК, так им честно и сказал, что подумаю. Пока я думал меня никто не беспокоил, в отличие от конкурентов, которые были весьма назойливыми. По ряду факторов, в том числе и человеческом, в итоге я выбрал мр.",5,MR Group,Novostroy-m
Евгения,2023-06-26,"Хочу купить новую квартиру и присматриваюсь к MODу. Интересный внешний вид, стильные МОПы, современное решение. Ну и самый главный плюс - это расположение. Я работаю на Савеловской, летом/весной/осенью можно будет прогуливаться по утрам и вечерам - и для здоровья полезно, и голову проветрить можно. Скоро вот поеду в офис продаж, поговорю с менеджером, уточню все нюансы. Но так-то на сайте я уже нашла квартиру, которая мне нравится. Если все сложится, сразу ее забронирую)",5,MR Group,Novostroy-m
Олег,2023-06-01,"В 2020 году взял у МР для себя квартиру. И остался ей полностью доволен. Все было сделано в точности так, как оговорено в договоре. Качество проделанных работ было очень высоким. Если и были мелкие недочеты, то пообщавшись с представителем застройщика, нам удалось решить все вопросы. Советую МР как надежного застройщика, делающего качественное жилье.",5,MR Group,Novostroy-m
Ульяна Казарян,2023-05-13,Покупали квартиру у Метриум…. Жк Дискавери парк. Хочу поблагодарить Ионову Галину за очень грамотную и быструю работу .. работник От Бога и очень хороший специалист своего дела …. Всем советуем..,5,MR Group,Novostroy-m
Светлана,2023-05-02,"Мы вложились в Селигер Сити на первоначальном этапе и ни разу не пожалели. Очень пронравилась концепция комплекса, что у каждого корпуса свое название. Плюс архитектура - очень сдержанная, но стильная и отличающаяся от домов вокруг. Большое внимание уделено озеленению и благоустройству территории.",5,MR Group,Novostroy-m
Кирилл,2023-04-27,"Когда выбирал квартиру в Москве видел много достойных предложений от мр групп. Вообще проекты у них интересные - развитая инфраструктура, облагороженная территория, качественные материалы и современные инженерные решения. Удалось посетить несколько ЖК - Селигер, Фили, Метрополия. Персонал вежливый и высококвалифицированный. В целом там мне все понравилось.",5,MR Group,Novostroy-m
Саша,2023-04-26,"Многие из последних проектов МР меня радуют своей архитектурой. Получается делать уникальные, но при этом узнаваемые дома. Больше всего меня привлекает Hide, MOD и Noble. Да, я знаю, что они все очень разные и по содержанию и по виду, но что поделать, сердцу не прикажешь ???? Здорово, что команда не просто возводит панельки как на заводе, а старается подойти к каждому проекту с душой, чтобы он аккуратно вписывался в контекст района. Это похвально",5,MR Group,Novostroy-m
Олег,2023-04-03,"MR Group - это надежный застройщик, который выполняет все свои обязательства в срок и с высоким качеством. Компания предлагает широкий выбор жилых комплексов, которые отличаются современным дизайном и удобствами для жизни. Сотрудники MR - это отдельная история. Они профессиональны и отзывчивы, всегда готовы помочь своим клиентам и ответить на все вопросы.",5,MR Group,Novostroy-m
Кристина,2023-03-31,"МР создает много интересных и разнообразных проектов - начиная от премиальных клубных домов и заканчивая тихими жилыми кварталами на берегу реки. Вот Эко Видное 2.0 как раз мой фаворит, очень меня привлекает размеренная и спокойная жизнь и соответствующая обстановка. Вокруг есть все необходимое для жизни - продуктовые, кофейни, аптеки, разные студии. Плюс до Москвы добираться совсем близко и удобно, если в распоряжении есть машина. Присматриваю себе сейчас там квартиру и надеюсь, что в ближайшее время получится совершить сделку)",5,MR Group,Novostroy-m
Алина,2023-03-30,"Перед покупкой своей собственной квартиры я долго мониторила информацию о разных застройщиках в интернете. О МР было большинство хороших отзывов, поэтому я выбрала эту компанию. Сейчас в портфеле организации много интересных объектов которые уже построились и которые еще находятся в процессе строительства. Для себя я выбрала ЖК MOD, потому что больше всего понравился по расположению и по концепции.",5,MR Group,Novostroy-m
