Name,Date,Review,Rating,Developer,Website
YFF,2014-08-08,"Недалеко от нас в поле поставили ограждение и началась стройка. Информационный щит содержал минимум вводных: ""Люберцы 2015"", телефон, метро Некрасовка. Позвонили, узнали - новый район будет, цены от 2,3 млн рублей. В поле. В стадии...
хороший ген. подрядчик, ДДУ, быстрый срок сдачи объекта, квартиры с отделкой, интересные начальные цены, ИКЕА партнер проекта
риски, механизм продажи, запись, резвый рост цен",4,Самолет,Otzovik
denssan,2019-06-11,"Покупка жилья довольно сложная штука, во-первых нужно определится покупать готовое или все же купить с котлована или посмотреть уже почти построенные дома. Но как ни крути в Московской области около 10 тысяч обманутых дольщиков и...
экономично
нет",4,Самолет,Otzovik
Екатерина 010494,2017-03-19,"Добрый день! Не знаю почему так много отрицательных отзывов о компании ""Самолет Девелопмент"". Хочу поделиться своими впечатлениями. Пока ничего не могу сказать о качестве отделки, т. к. приобрела квартиру в ЖК ""Люберцы - 2017"". Это...
работа сотрудников, в офисе продаж можно увидеть, как будет выглядеть Ваша квартира с отделкой.
пока не выявила",5,Самолет,Otzovik
Donna Roza,2019-09-15,"Самолёт девелопмент один из застройщиков в Люберцах на мой взгляд строят более-менее приемлемое жильё. Не знаю как на этапах строительства идут продажи, с какими трудностями сталкивается покупатель и какие невыполненные обещания исходят от компании, но...
Нормальные дома, хорошие детские площадки
Нехватка парковочных мест, недостаточное озеленение",4,Самолет,Otzovik
manwith,2016-04-27,"Пишу отзыв по покупке квартиры в ЖК Люберцы-2015 у компании Самолет Девелопмент или Самолет Групп. Кратко - такого отвратительного отношения от компании я никогда в жизни не получал. Сильно жалею, что приобрел квартиру в этой...
скрыты глубоко под минусами
описаны в отзыве",1,Самолет,Otzovik
bonusnuk,2019-06-30,"Группа Компаний Самолёт основанна в 2012 году. У самих истоков компания внедрялась в социальные программы, где принимались решения проблем обманутых дольщиков, совместно с Правительством Московской области. Социальный проект ""Октябрьский"" показал что компания держит правильный курс...
Сроки, отчётность, выбор.
Все пройдёт хорошо",5,Самолет,Otzovik
EkaterinaMarf,2020-11-14,"ЖК ""Остафьево"" от застройщика ""Самолет Девелопмент"" расположен в Новой Москве. Как говорят менеджеры, до МКАДа 11 км по Варшавскому шоссе. Мы выбирали между ЖК ""Алхимово"" Самолет и этим. Все таки выбрали Алхимово, можете почитать, почему...
Московская прописка, живописные места вокруг, обещают метро
Далековато пока до инфраструктуры",4,Самолет,Otzovik
Аноним2662107,2019-10-05,"Компания полностью устроила. Не могу сказать ничего отрицательного в ее сторону. Мы с семьёй остались довольны. Рекомендую и надеюсь, что люди по достоинству оценят ее так же как оценили...
- хорошее обслуживание
Просто нет",5,Самолет,Otzovik
i744061,2019-11-01,"В компанию я обратился вскоре после того, как пожаловался сотруднику на то, что долго не могу найти подходящее жилье неподалеку или на окраине Москвы, чтобы по цене было приемлемо, но и не совсем развалюха. На...
Есть хорошие варианты квартир
Ждал сотрудника",4,Самолет,Otzovik
Lacrimosa7002,2022-10-27,"Хочу рассказть о том, как мы общались с компания ""Самолет Девелопмент"" в Москве. Честно, про этого застройщика мы до недавнего времени вообще ничего не знали. Мы выбирали квартиру в первую очередь и только потом имело...
много объектов строительства, приемлемые цены, варианты с отделкой
совершенно незаинтересованный и равнодушный персонал",4,Самолет,Otzovik
NastyPro,2018-11-09,"Итак, начну с того что, живем мы здесь с начала 2016 года, квартиру покупали на этапе строительства за полгода до обещанного срока выдачи ключей, застройщик сроки не нарушал, так как в договоре была не конкретная...
Ухоженная территория, детские площадки, соотношение цена/ качество
Транспортная доступность, экология , один детский сад и школа на весь жк , недоразвитая инфраструктура",4,Самолет,Otzovik
Zakazchik remont,2019-02-26,"Наверное, этот застройщик в себе очень уверен, раз не боится оставлять недоделанными некоторые вещи. 1. Во-первых, наша квартира уменьшилась на 0,1 кв. м. На самом деле мне кажется, что квартира меньше более, чем на кв...
Новая квартира в Новой Москве
Все перечисленное в отзыве",3,Самолет,Otzovik
vovel,2018-12-12,"Залезли в ипотеку на однушку в Томилино-2018. Молимся что не будет так как в Люберцах и других вонючих районах. Подкупило что до метро Котельники 10 минут езды, т. к. ни одного светофора на 9 километрах...
Шустро
время покажет",4,Самолет,Otzovik
Paramon1x,2020-02-23,"Пишу отзыв на основе построенного компанией микрорайона - Самолёт. На районе множество детских садов, 2 современные школы(скоро появится третья). Есть множество небольших продуктовых магазинов, недавно открылся МФЦ. К сожалению, имеется и ряд минусов, а именно...
Современные школы, дет.сады.
Неразвита инфраструктура, неудобство добираться до метро пешком или на общ.транспорте.",3,Самолет,Otzovik
