Name,Date,Review,Rating,Developer,Website
Ольга,2024-08-07,"Хочу поделиться отзывом о данной компании. Приобретали квартиру в 2023 году у застройщика МИЦ с чистовым ремонтом. Планировали заселение февраль -май 2024. К концу года все объекты выкупил Самолёт. И начались у всех дольщиков проблемы: постоянный перенос сроков, первые заселения пришлись на конец июля. Сдали две секции из 12((. В 12 только начали ремонт делать. В тех,что сдали лифты работают не всегда, и отключают после 22 часов. Прилегающая территория в плачевном виде: из детского оборудования только горка при катании на которой ребенок может повредить копчик т.к спуск очень высоко расположен и надо ловить детей... Так же площадка под баскетбол,пару лежаков деревянных и камни для антуража",1,Самолет,Forum-zhk
Анастасия,2023-01-11,"Решили мы купить квартиру у самолёта в ЖК Мытищи, позвонили, поинтересовались условиями, девушка по телефону сказала, что ""все акции можно суммировать, приходите"". Приехали в офис, там все, конечно, устроено хорошо. Есть детский уголок, чай/кофе бесплатно.
Ждали в очереди около часа. Менеджер презентовал жк, выбрали квартиру, забронировали, оформили заявку на ипотеку. У меня был промокод на скидку 5%, его применили. Через пару дней одобрили заявку на ипотеку, менеджер сказал оплатить регистрацию сделки. В личном кабинете банка ВТБ есть акция, при оплате регистрации сделки по карте ВТБ, будет начислено до 90 000 бонусов (в нашем случае, должны были начислить 75 000 бонусов).
Оплатили сделку с карты ВТБ, уточнили у сотрудника банка про бонусы, нам сказали что бонус начислят после проверки регистрации сделки.
Менеджер самолёта нам сказал, что бонус они нам на карту ВТБ не начислят, так как мы уже применили промокод на скидку 5%. В общем, будьте умнее, не верьте на слова тому что вам обещают и перед оформлением сделки, фиксируйте все слова менеджеров о том, что можно суммировать скидку и бонусы, желательно в письменном виде. Потому что после оплаты регистрации сделки, вы уже никаких бонусов от них не добьётесь!",2,Самолет,Forum-zhk
Ирина,2022-04-27,"Самолет строит ЖК Заречье Парк, Квартал Некрасовка, Люберцы... Купить квартиры в них можно и через Абсолют Недвижимость. Могу подарить скидку Абсолют Бонус=1%. Пишите на почту: predlogenija@mail.ru или в Телеграмм +79032383684",5,Самолет,Forum-zhk
Ольга,2020-06-28,"""Крутилась, вертелась"", оформила квартиру в Новоданиловаска 8. По новой ипотечной программе от Самолет и Альфа Банк. Выгодно, удобно, я довольна как слон, если простыми словами выразиться.",5,Самолет,Forum-zhk
Нина,2020-06-25,"Очень довольна, что купила квартиру именно от Самолета. Район приличный, комплекс уютный и комфортный, квартира с качественным современным ремонтом и без косяков в отделке. Сейчас наш комплекс еще достраивается, но стройка не мешает, так как ведется по всем нормам безопасности и прочего. Вот что значит, когда нормальный застройщик!",5,Самолет,Forum-zhk
Марьяна,2020-05-22,"При покупке квартиры получили полное сопровождение в офисе продаж, хороший менеджер и нормальный застройщик. Большое спасибо!",5,Самолет,Forum-zhk
Алиса,2020-04-23,"Сами покупали квартиру у этого застройщика 2 года назад, живем в одном из комплексов, сейчас планируют покупать жилье сестра с мужем, им советую тоже брать у Самолета, так как только у них можно найти недорогую, но классную квартиру в доме в хорошем районе, с благоустроенным двором, с инфраструктурой, с дорогами нормальными, парковочными местами и прочим.",5,Самолет,Forum-zhk
Твердохлебова,2020-04-09,"Воспользовалась Трейд-ином от Самолета и очень довольна. Поменяла однушку на двушку с очень небольшой доплатой и очень быстро. Сама бы продавала и покупала намного дольше, да и небезопасно это все самой делать, а риелторы нынче дорого берут за все сделки.",5,Самолет,Forum-zhk
Sasha Kulikov,2020-03-12,"У застройщика нет скандалов связанных со строительством комплексов, цены на жилье адекватные. Для меня выбор квартиры был очевиден.",5,Самолет,Forum-zhk
Женя,2020-02-29,"Достойный застройщик, уже имеет на своем счету несколько приличных жилых корпусов, это вполне удачные проекты. Насколько я знаю, задержек со сдачей у них не было. Также вызывает уважение тот факт, что компания не позволяет себе менять планы по ходу дела и удешевлять проект уже после старта. А многие другие компании этим грешат.",5,Самолет,Forum-zhk
ivan,2020-02-18,"Они предлагают нормальные цены на свои объекты, в большинстве своем это прагматик-класс, то есть жилье в монолите, с нормальной отделкой, современными планировками и по доступной стоимости.",5,Самолет,Forum-zhk
Оленька,2019-06-06,"Добрый день! Информация по ЖК Томилино-2018:
Застройщик без объяснения причин перенес сроки ввода в эксплуатацию пяти корпусов 1 очереди на целый квартал!!!!
29.05.2019 только начали подключить водоснабжение и водоотведение!!
По условиям ДДУ срок выдачи ключей - до 30.09.2019.
Сегодня 06.06.2019 нет даже примерной информации о начале заселения. Причины и сроки не уточняются.

Уважаемые будущие покупатели 2 очереди ЖК Томилино, подумайте дважды перед приобретением квартиры!",1,Самолет,Forum-zhk
Яна,2019-05-27,"В ЖК Люберцы уже больше года живем. Как по мне, отличный район, центр МСК недалеко. В первое время понадобилось время, чтобы привыкнуть, как никак еще не все было готово, дорог, площадки т.д. ну а постепенно все достроилось. Облагородилось, так что спасибо, довольны.",5,Самолет,Forum-zhk
