Name,Date,Review,Rating,Developer,Website
Макар,2023-05-19,"Купили квартиру в строящемся доме потому что не побоялись что застройщик подведет. На рынке компания давно, работает успешно, штат не сокращает, насколько мне известно, все планы реализует. Выбирали долго и понравилось, что менеджеры были терпеливы, свои варианты не навязывали, предоставляли всю информацию. Оформили все документы как положено. Не вижу никаких минусов на данный момент и считаю, что А101 одни из немногих, кому можно доверять в наше непростое время.
Читать полностью",5,А101,Novostroev
Андрей,2021-05-25,"Пандемия по многим ударила это факт! Но компания быстро восстановила работы, жилье сдается и планы выполняются. Понятно, что есть задержки по срокам, но ничего критичного. Главное, что в отношении материалов, инфраструктуры - все соответствует изначально утвержденным планам.",5,А101,Novostroev
Валерий,2023-05-27,"Я всегда застройщиков стараюсь оценивать не по рейтингам, которые о них размещают, а реально по тому, как строят, где. Этому застройщику считаю что можно доверять, потому что он выбирает хорошие районы, делает все как обещает, не меняет генеральный план, втискивая дома между домами, чтобы окна в окна уже смотрели. По качеству точно знаю, что используют хорошие проверенные материалы и такие дома простоят долго.",5,А101,Novostroev
Вячеслав,2023-04-19,"Положительный застройщик. Каких-то особых отклонений по генеральному плану за ним не замечено. Слышал, бывает, задерживает выдачу ключей, но все аргументы обоснованные. Мы свою квартиру получили вовремя, ремонт в ней нас устроил полностью. Не без того, конечно, что кое-что доделывали, но это были лично наши с женой вкусовые предпочтения. Хотим вот у а101 дочке взять жилье, пока думаем в каком районе. И Сады, и Испанские кварталы нравятся, но ее почему-то тянет в Прокшино, говорит, там БК строят современный. Посмотрим.
Читать полностью",5,А101,Novostroev
Данила Клепков,2023-04-11,"Как-то проблем с этим застройщиком не было. Квартиры брали в разных районах не для себя, для съема. Все ключи на помещения получили вовремя, ну единственное в одном районе задержка была из-за облицовки дома. По расположению, районы скорей всего подходят для людей пересыщенных городской жизнью и желающих свежего воздуха, а не выхлопных газов от миллионов машин Москвы. Застройщик это понимает и планирует стройки в удачной местности. Не вижу недостатков у А101!
Читать полностью",5,А101,Novostroev
Светлана,2022-12-14,"Получили ключики, неужели годы ожиданий позади. Хорошо, что выбрали А 101, крупный надежный застройщик. По-моему по ДДУ сейчас только с такими застройщиками можно иметь дело. У них вся Новая Москва под застройкой, мне кажется это гарантия того, что будешь жильем.",5,А101,Novostroev
Юрий Морозов,2022-09-21,"По своему опыту покупки двух квартир в их новостройках. Строят качественно, одна бизнес класс, другая комфорт, АПП подписал практически без замечаний, регулировки пвх окон и прочие мелочи не в счет. По срокам, слышал что переносят, но у меня переносов не было.",5,А101,Novostroev
Вера,2022-01-27,"Строят, сдают, что еще нужно. Мы свои ключики получили вовремя. Качеством квартиры вполне довольны. Косяков таких, что прям придраться нет. Ремонт сделали под себя, все так как хотелось. Садик, пришлось подождать, но зато какой отличный.",5,А101,Novostroev
Григорий,2021-05-13,"Задержка небольшая со сроками была. Но всегда по телефону решали все вопросы, узнавали даты. В офисе вполне нормальные приятные сотрудники. Всё расскажут и сориентируют. Нам вообще глобально со счетчиками помогли решить проблемы. Приятно, что после покупки квартиры о тебе не забывают. Постпродажный сервис это тоже важная штука.",5,А101,Novostroev
Ангелина,2023-04-15,"Снимаем квартиру в одном из районов этого застройщика. Проживая здесь год, хочу сказать, что дома действительно у а101 качественные, что бы там не говорили. Сколько общаемся с соседями, жалоб вообще не слышал хоть убей. Как-то все довольны. Площадка для детей огромнейшая, с резиновым покрытием, качелями. В моем детстве такого не было. Даже завидую немного) Зеленых зон хоть отбавляй, есть где погулять. Под домом парковка. Рядом и магазины и кафешки. Знаю, что застройщик по такому типу все свои районы и оформляет. В скором времени будем тоже у него себе квартиру брать.
Читать полностью",5,А101,Novostroev
Л. Винер,2021-12-28,"Брал у них квартиру дочери, ключи получил вовремя, к концу обещанного периода, но все же без задержек. При приемке претензий не было, окна менял потом, но это скорее мой пунктик - квартира высоко, дуют ветра, поставил 5камерный пакет. Отделку брал вайтбокс, дочь учится на дизайнера, не захотела отделку от застройщика, занимается сейчас проектом своей будущей квартиры, так что пока не въехала. Ну нам и не горит, пусть сделает все как ей хочется.",0,А101,Novostroev
Анатолий Курбидинов,2024-06-14,"В застройщике много чего нравится. Это разумные цены на жилье, гибкие условия оплаты и поддержка на всех этапах покупки, а также креативный подход в дизайне архитектуры своих объектов, качество строительства и благоустройство. Сейчас живу в одном из комплексов от А101 и очень рад, что в свое время решил купить жилье именно у них.",5,А101,Novostroev
Михаил Витрянюк,2024-03-22,"Понравились решения А101 с нестандартными квартирами и одну из таких себе и выбрали, у нас есть спальня с отдельным туалетом. Считаю что совсем не лишняя, когда в квартире живут трое взрослых и двое детей и всем по утрам надо посетить эту комнату в обязательном порядке))",5,А101,Novostroev
Анатолий,2023-04-24,"Застройщик активно возводит ЖК в Новой Москве, сам по себе район перспективный, так что многие проекты можно рассмотреть, ведь прописка будет московская. У нас уже есть одна квартира от них, сдали в срок, менеджер при выборе жилья и приемке очень помогал советам. Могу сказать, что новостройки достойные, продуманы хорошие планировки и вся инфраструктура жилых районов.",5,А101,Novostroev
Пырьева С.,2024-05-06,"Нам повезло взять квартиру от этого застройщика на старте продаж по минимальной цене. Продали бабушкину квартиру и даже не нужно оформлять ипотеку, ура-ура. Правда нужно будет ждать до сдачи почти год, но не горит, поживем пока с родителями, не гонят, зато получим хорошее свое жилье, просторную двухкомнатную сразу с отличной планировкой и большой спальней и кухней.",5,А101,Novostroev
Юрий,2023-06-26,"Планирую в этом году приобрести ещё одну квартиру от А101. Первая у меня в же Скандинавия, уже год живу, целиком и полностью устраивает. Качество ремонта говорит само за себя. За год ничего нигде не отвалилось и не испортись, квартира сухая и теплая, жк удобно спланирован. А сейчас они как раз строят Дзен кварталы , тоже в хорошем районе, и удобное расположение будет. На другие предложения даже и не смотрю. Доверяю тому, что проверил на собственном опыте.
Читать полностью",5,А101,Novostroev
Олег Власин,2023-06-15,"Не так давно приобрел квартиру в «Прокшино». Выбирал по отзывам, и так как опыта в покупке нет, боялся нарваться на срыв сроков или на плохое качество строительства. Да мало ли вообще проблем при покупке такого объекта. Когда приехал в офис и поговорил с менеджером, многие моменты меня волнующие прояснились. Я несколько раз перед подписанием документов заезжал к ним, ребята молодцы, на все мои тыщщу вопросов отвечали терпеливо и очень подробно, даже на стройку ездили и готовые квартиры смотрели, за что им большое спасибо.
Читать полностью",5,А101,Novostroev
Вячеслав Андреевич,2022-08-18,"Перед подписанием ДДУ на двушку в их Скандинавии, навел справки в нете, впечатлила информация, что они в 20 году ввели в эксплуатацию 350 тысяч квадратных метров недвижимости. Строят масштабно, много. Мощный застройщик, создает жилкомплексы в чистом поле с нуля со всей инфраструктурой.",5,А101,Novostroev
Ирина,2022-05-13,"Выбрали их новостройку в коммунарке, ЖК Скандинавия, возле бутовского лесопарка, квартиры бизенс класс, но доступные по цене. Строится хорошими темпами. Так же посмотрели некоторые другие их новостройки. Надо сказать, везде архитектура не тривиальная. Во всех ЖК есть хорошее благоустройство, строят свою инфраструктуру.",5,А101,Novostroev
roma.kaverzin,2024-07-11,"Нормальная строительная компания. Как минимум, она предлагает адекватные цены на недвижимость неплохого качества. Помимо этого, когда выбирал жилье и коммерческие помещения для магазина, было важно, чтобы у застройщика не было заброшенных объектов. А101 в этом отношении еще никого не разочаровали. К слову, ключи от квартиры были сданы вовремя, уже заселился. Помещение пока еще жду, но скоро будет.",5,А101,Novostroev
Сергей А.,2024-05-11,"В целом, работа этого застройщика нравится. Сотрудничал уже с ним дважды. В ОП менеджеры грамотные, вели обе сделки от начала и до конца. При получении ключей от жилья были небольшие нюансы в отделке, но их быстро устранили. Оба квартала, в которых брал жилье, постоянно развиваются и облагораживаются. Налажено буквально все. На мой взгляд, это и есть клиентоориентированность.",5,А101,Novostroev
Иван Л.,2024-02-16,"Купили квартиру, уже готовимся к переезду и не жалеем. Отделка сделана хорошо, что самое главное, нам не нужно будет ничего переделывать и деньги тратить сверх уже выделенного бюджета. Сделаны хорошо и все территории общего пользования. Дома еще вокруг строятся, но стройка никак не мешает, все огорожено хорошо.",5,А101,Novostroev
Дарья О.,2024-02-09,"Нравится, как работает наша УК. Летом они, как муравьи бегали во дворе, то газончик поправят, то сорняки уберут, то цветы высадят. В домах чисто, на этажах убираются по графику. С нашими жильцами работы у них много) Но в офисе работают вежливые сотрудники, какого-то негатива от них никогда не получала. У меня больше вопросов к соседям своим, которые любят мусор на лестничной площадке оставить, чем к УК)",5,А101,Novostroev
Вячеслав М.,2023-11-15,"Об А101 узнал когда искал себе квартиру. Оформил себе двушку в Прокшино. Я доволен очень. Застройщик молодец, проекты у него современные, все продуманно для комфортной жизни. Теперь планирую себе еще и офис взять в БК Прокшино. Бизнес квартал вообще шикарный, офис там иметь очень перспективно, поэтому надо брать, пока есть из чего выбрать.",5,А101,Novostroev
Алина,2023-07-19,"А мне нравится 101, живем в жилом комплексе от этого застройщика, родителям тоже приобрели квартиру здесь, как только выразили желание быть к нам поближе. Ипотека хорошая, не смертельно платить, немного была задержка при сдаче дома, так совершенно не критично. Качество хорошее, рядом детская поликлиника в шаговой доступности, магазины, торговый центр, кафешки разные.",5,А101,Novostroev
Виталий,2023-06-29,"Нормальный застройщик, с хорошей обратной связью от менеджеров офиса и вполне неплохой репутацией по Москве. Сдают преимущественно в срок, в некоторых случаях читал даже с опережением было. Мой дом сдали как и оговаривалось в договоре. Претензий при приеме квартиры было реально минимум, пару косяков исправили буквально за пару дней. Рад, что когда-то сделал выбор в пользу квартиры от А101. Особенно когда читаешь отзывы про конкурентные застройки у нас на районе
Читать полностью",5,А101,Novostroev
Лиза Роок,2022-11-16,"Сейчас Белых ночах в долевом, застройщик А 101. Недавно сдали 3 корпус, что уже радует, сдали его раньше графика, наш по идее следующий. Строят хорошими темпами, целыми большими кварталами со всей инфраструктурой. Недалеко от ЖК уже работает построенный ими образовательный комплекс Формула, со школой и детским садом.",5,А101,Novostroev
Давид,2022-07-27,"Строит много жилья в Новой Москве. Когда выбирали ЖК из всех отобранных претендентов, остались ЖК, которые строит А 101. Их новостройки отличаются хорошим комфортом, квартиры с высокими потолками и разнообразными планировками, возле домов, как правило хорошее благоустройство. Пока еще ничего не купили но, направление выбора уже определено.
строит много, наджено
Читать полностью",5,А101,Novostroev
stanislav busov,2024-05-10,"Мне нравятся планировки у этого застройщика. Разные жк, но от одного к другому переходят очень удачные решения с большими окнами, высокими потолками, балконами увеличенной площади, даже есть с террасами, боковым остеклением и прочими современными фишками.",5,А101,Novostroev
stepcenkova irina,2024-01-14,"Хорошая компания, по крайней мере первые впечатления сложились приятные. Была в нескольких их офисах по вопросу приобретения квартиры для себя. Планировки у них везде в принципе стандартные, а вот цены разные, это зависит от стадии готовности дома и комплекса. Пока смотрю на Дзен кварталы, они пока в приоритете по срокам и цене. Знакомые тоже живут в их квартире, отзываются положительно о качестве жилья. Зимой в квартире тепло, ук хорошо работает, магазины новые постоянно открываются. Очень надеюсь, что всё сложится наилучшим образом, и я стану счастливой обладательницей их квартиры
Читать полностью",5,А101,Novostroev
