Name,Date,Review,Rating,Developer,Website
ruban77,2022-10-31,"Я не искушенный в сфере недвижимости человек, просто возникло желание написать отзыв о застройщике Новой Москвы А 101, так как у меня квартира в ЖК Белые Ночи, точнее в доме №3. Желание написать отзыв возникло...
сдали в срок, в принципе без претензий по качеству.
есть жалобы на сроки сдачи",5,А101,Otzovik
Pryanik71,2022-09-08,"Я являюсь покупателем квартиры в ЖК ""Прокшино"". Покупал квартиру на начальной стадии в июле 2020, когда еще на сайте не были выставлены квартиры в продажу. Приехал в назначенное время, проконсультировался, определился с квартирой, заплатил 10...
Своевременная сдача дома, красивые дома
В моем случае минусы отсутствуют.",5,А101,Otzovik
Highlender,2022-10-25,"Всем здравствовать! Про А 101 узнал совершенно случайно, просто поиски квартиры, наверное, как многие начал с интернета, со всем известных сайтов по недвижимости. Видимо поисковые системы заметили, что я усиленно интересуюсь недвижкой и уже в...
много строит, давно строит
пока не знаю",5,А101,Otzovik
Rrazumovsky,2022-03-27,"Уезжали от родителей из соседнего дома в Москве А101 с липового. Зачем ехать далеко?)))Правильно не за чем. В 2012 с покупкой в Москве а101 проблем с застройщиком не было. Ну собственно мы подумали и сейчас...
Ребята все достраивают, нет ни одного объекта, который не достроили. Строят огромные районы в едином стиле, с хорошим озеленением. В каждом их районе есть как минимум по одной большой школе и по садику, и дополнительные еще строятся.
Срывы по срокам сдачи. Где-то больше где то меньше, где то нету.",5,А101,Otzovik
tutor,2019-05-17,"Являясь счастливой обладательницей квартиры от застройщика А101, хочу поделиться своим опытом и мнением по поводу этой строительной компании. Уверена, что прежде чем купить жилье вы обязательно посмотрите проект жилого комплекса, рассчитаете дорогу до работы, до...
Цены
Не устраняют дефекты в квартире после подписания Акта Передачи.",4,А101,Otzovik
Stas54Kl,2022-08-26,"Хотел бы поделится своими впечатлениями про застройщика А 101, на примере их стройки ЖК Скандинавия, где я недавно получил ключи от своей долевой квартиры. Хочу сказать, что после прочтения некоторых отзывов, откровенно негативных я увидел...
строит много, качественно, долгострое в нет
иногда переносят сроки сдачи",5,А101,Otzovik
79271788627ася,2022-04-23,"Здравствуйте, хочу поделится отзывом о застройщике А 101, на примере жилкомплекса Скандинавия, который построил наш застройщик. Жилкомпекс находится недалеко от Коммунарки, на Юго-Западе в Новомосковском АО. Покупали мы квартиру еще на самом старте продаж по...
цены адекватный, строит бизнес класс, долгостроев не замечено
не заметила",5,А101,Otzovik
МарияЛ,2020-01-19,"Приобрела квартиру в ЖК Испанские кварталы, часть того, что написано в других отзывах имеет место быть, а другую часть не знаю не встречалась. При приемке квартиры были нарекания, застройщик в течении 1 5 месяцев ничего...
Современная планировка дворов, потолки, этажность
Проблема парковок, раздельного мусора",5,А101,Otzovik
StarinaS,2023-06-04,"Привет! Покупал квартиры в октябре 2021 года. Построили - уже хорошо. Рендеры дома бизнес-класса не соответствуют реальности, но все равно получилось хорошо. Из основного минуса - бардак с получением ключей к домофону и тех. шкафам...
Скорость постройки, цена
Рендеры сильно не соответствуют реальности.",4,А101,Otzovik
Паларалачка,2020-11-05,"Квартиру в жк Скандинавия покупали для дочери, ей сейчас 17 лет, это вклад в ее будущее. Как там дальше сложится ее жизнь, не знаем, но вся инфраструктура вокруг ЖК есть. Те же самые детские площадки...
инфрастуктура, оптимально по цене и расположению
пока нет",5,А101,Otzovik
